Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
025770,KR7025770009,한국정보통신,KOSDAQ,우량기업부,8970,1,70,0.79,8980,9080,8920,28919,260328920,335875110870,37444271,KSQ
061970,KR7061970000,LB세미콘,KOSDAQ,우량기업부,7650,2,-30,-0.39,7650,7750,7610,184347,1415426740,334952128800,43784592,KSQ
077360,KR7077360006,덕산하이메탈,KOSDAQ,우량기업부,7360,1,40,0.55,7290,7460,7230,181398,1328751580,334416334720,45437002,KSQ
217330,KR7217330000,싸이토젠,KOSDAQ,기술성장기업부,14970,1,100,0.67,14870,15450,14700,107497,1619950890,333514040190,22278827,KSQ
136480,KR7136480001,하림,KOSDAQ,우량기업부,3125,3,0,0.0,3125,3145,3105,681856,2128971185,331905318750,106209702,KSQ
080160,KR7080160005,모두투어,KOSDAQ,중견기업부,17540,1,370,2.15,17240,17670,17240,115726,2029561390,331506000000,18900000,KSQ
051980,KR7051980001,중앙첨단소재,KOSDAQ,투자주의환기종목(소속부없음),4205,1,360,9.36,3930,4380,3880,4117712,17338275685,330100645085,78501937,KSQ
029960,KR7029960002,코엔텍,KOSDAQ,우량기업부,6600,2,-30,-0.45,6630,6650,6550,27718,183388440,330000000000,50000000,KSQ
235980,KR7235980000,메드팩토,KOSDAQ,기술성장기업부,9810,2,-200,-2.0,9900,10100,9760,380617,3766563510,329426617950,33580695,KSQ
060720,KR7060720000,KH바텍,KOSDAQ,중견기업부,13910,2,-210,-1.49,14030,14100,13840,101756,1418830550,329353218220,23677442,KSQ
217270,KR7217270008,넵튠,KOSDAQ,중견기업부,7060,2,-50,-0.7,7020,7140,7000,28186,198296860,328869979000,46582150,KSQ
267980,KR7267980001,매일유업,KOSDAQ GLOBAL,우량기업부,41800,1,50,0.12,41750,42050,41650,8833,369423850,327864068400,7843638,KSQ
027360,KR7027360007,아주IB투자,KOSDAQ,우량기업부,2710,1,5,0.18,2700,2750,2700,151746,413282820,327491050260,120845406,KSQ
200670,KR7200670008,휴메딕스,KOSDAQ,우량기업부,29150,2,-500,-1.69,29800,30150,29150,37457,1111918650,327352459500,11229930,KSQ
033100,KR7033100009,제룡전기,KOSDAQ,우량기업부,20350,2,-350,-1.69,20700,20850,20250,112926,2305386150,326870023150,16062409,KSQ
265520,KR7265520007,AP시스템,KOSDAQ,우량기업부,21300,3,0,0.0,21300,21500,21150,27275,580557500,325494267300,15281421,KSQ
089980,KR7089980007,상아프론테크,KOSDAQ,우량기업부,20300,3,0,0.0,20200,20450,20000,27181,551096600,324577451100,15989037,KSQ
058820,KR7058820002,CMG제약,KOSDAQ,중견기업부,2325,1,15,0.65,2315,2345,2300,221103,512729815,322924467300,138892244,KSQ
039840,KR7039840004,디오,KOSDAQ,우량기업부,20200,2,-300,-1.46,20500,20600,20100,50522,1025423250,320811451000,15881755,KSQ
304100,KR7304100001,솔트룩스,KOSDAQ,기술성장기업부,26250,3,0,0.0,26600,26900,26200,140738,3722814100,317462460000,12093808,KSQ
254490,KR7254490006,미래반도체,KOSDAQ,중견기업부,21950,1,100,0.46,21750,22300,21600,49492,1087299550,316914100000,14438000,KSQ
230360,KR7230360000,에코마케팅,KOSDAQ GLOBAL,우량기업부,9780,1,40,0.41,9740,9810,9650,40851,397928410,316559323620,32368029,KSQ
123860,KR7123860009,아나패스,KOSDAQ,벤처기업부,26050,2,-1900,-6.8,28000,28250,25850,236765,6451578850,315814960750,12123415,KSQ
