Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
183190,KR7183190008,아세아시멘트,KOSPI,,11180,1,30,0.27,11210,11290,11050,30483,340619270,435551446200,38958090,STK
357120,KR7357120005,코람코라이프인프라리츠,KOSPI,,4875,1,25,0.52,4885,4885,4855,22902,111535320,431605560750,88534474,STK
004690,KR7004690004,삼천리,KOSPI,,105300,1,4700,4.67,100100,105400,100100,46681,4846831500,426994132500,4055025,STK
011930,KR7011930005,신성이엔지,KOSPI,,2070,2,-20,-0.96,2090,2095,2060,925190,1920035855,426105672570,205848151,STK
005810,KR7005810007,풍산홀딩스,KOSPI,,42350,1,2550,6.41,40700,42800,40250,70982,2954270050,423437660800,9998528,STK
029530,KR7029530003,신도리코,KOSPI,,42000,1,250,0.6,41800,43050,40600,117419,4895460150,423361218000,10080029,STK
123890,KR7123890006,한국자산신탁,KOSPI,,3370,1,30,0.9,3340,3400,3335,159253,536988830,417805024240,123977752,STK
003300,KR7003300001,한일홀딩스,KOSPI,,13400,1,220,1.67,13210,13510,13180,31114,416865800,413160645600,30832884,STK
002030,KR7002030005,아세아,KOSPI,,192600,2,-300,-0.16,193500,196300,191600,837,161725500,411394370400,2136004,STK
002310,KR7002310001,아세아제지,KOSPI,,45800,1,1150,2.58,44600,45800,44600,21118,959228250,410207791600,8956502,STK
084690,KR7084690007,대상홀딩스,KOSPI,,11230,1,550,5.15,11320,12450,11140,2410935,28207799140,406666801740,36212538,STK
093050,KR7093050003,LF,KOSPI,,13860,1,350,2.59,13510,13910,13490,58492,802800380,405266400000,29240000,STK
009290,KR7009290008,광동제약,KOSPI,,7730,1,40,0.52,7690,7780,7690,137422,1063299010,405213178230,52420851,STK
090435,KR7090431008,아모레퍼시픽우,KOSPI,,38250,1,50,0.13,38900,38900,37650,31886,1215392050,403836997500,10557830,STK
033270,KR7033270000,유나이티드제약,KOSPI,,24650,1,300,1.23,24400,24850,24250,28611,704962850,400434862300,16244822,STK
432320,KR7432320000,KB스타리츠,KOSPI,,3935,1,5,0.13,3920,3940,3900,45807,179759380,399065211475,101414285,STK
017810,KR7017810003,풀무원,KOSPI,,10450,1,140,1.36,10310,10510,10240,46790,488496640,398359663900,38120542,STK
453340,KR7453340002,현대그린푸드,KOSPI,,11630,1,30,0.26,11580,11720,11560,28270,329486400,394035029820,33880914,STK
306200,KR7306200007,세아제강,KOSPI,,138900,1,2900,2.13,137000,139900,136500,9783,1356933300,393962070000,2836300,STK
001200,KR7001200005,유진투자증권,KOSPI,,4040,1,185,4.8,3860,4235,3835,3885078,15934152315,391340328720,96866418,STK
004700,KR7004700001,조광피혁,KOSPI,,58800,1,1500,2.62,56900,60700,56200,5762,338804500,390969314400,6649138,STK
027410,KR7027410000,BGF,KOSPI,,4070,1,100,2.52,3970,4100,3970,128657,522895690,389567339370,95716791,STK
448730,KR7448730002,삼성FN리츠,KOSPI,,5020,3,0,0.0,5020,5020,5000,10401,52138450,388046000000,77300000,STK
006405,KR7006401004,삼성SDI우,KOSPI,,239500,1,500,0.21,239500,242500,234000,6844,1639393000,387486092000,1617896,STK
005389,KR7005383005,현대차3우B,KOSPI,,161000,1,6100,3.94,154900,161800,154200,88026,13983433600,387116128000,2404448,STK
126560,KR7126560002,현대퓨처넷,KOSPI,,3500,2,-10,-0.28,3530,3540,3475,114495,400862720,385710307500,110202945,STK
094800,KR7094800000,맵스리얼티1,KOSPI,,4150,2,-5,-0.12,4140,4160,4120,25507,105601515,385262473650,92834331,STK
000540,KR7000540005,흥국화재,KOSPI,,5990,1,140,2.39,5690,6020,5680,682244,3995368670,384813443550,64242645,STK
004430,KR7004430005,송원산업,KOSPI,,15990,2,-110,-0.68,16120,16140,15880,48484,774839780,383760000000,24000000,STK
003545,KR7003541000,대신증권우,KOSPI,,14760,1,120,0.82,14700,14800,14650,95084,1403331970,383760000000,26000000,STK
025860,KR7025860008,남해화학,KOSPI,,7620,1,80,1.06,7540,7640,7540,115524,877639760,378552783660,49678843,STK
003520,KR7003520004,영진약품,KOSPI,,2035,1,15,0.74,2020,2060,2020,153622,314191250,372186707585,182892731,STK
000430,KR7000430009,대원강업,KOSPI,,5990,2,-200,-3.23,6120,6130,5980,625288,3772608140,371380000000,62000000,STK
108670,KR7108670001,LX하우시스,KOSPI,,41400,1,50,0.12,41300,41700,40850,9196,379337300,371261538000,8967670,STK
002320,KR7002320000,한진,KOSPI,,24650,1,200,0.82,24550,25000,24500,56128,1389928250,368459030200,14947628,STK
